field_1,Codigo,Nombre,Elevacion,Lat,Lon,Norte,Este
"239","23060180",PENON EL,"1400",5.253444440000000,-74.294499999999999,2138645.278031,4856600.932893
"240","25020280",LOMA LA,"30",9.606527780000000,-73.611972219999998,2619593.744375,4932877.135810
"241","26100070",LUCERNA HACIENDA,"964",4.223805560000000,-76.147305560000007,2025435.769014,4650693.338947
"242","21120100",VOLCAN EL,"1105",2.865000000000000,-75.566388889999999,1874913.464702,4714798.320045
"243","24030190",MONGUI,"2970",5.724555560000000,-72.847861109999997,2190555.048164,5016838.661382
"244","24060080",PAYOA 5,"161",7.270277780000000,-73.490833330000001,2361384.620812,4945839.782673
"245","26250110",BARRO BLANCO,"190",7.474111110000000,-75.264388890000006,2384522.035915,4750193.578591
"246","21180210",VALLE DE SAN JUAN,"582",4.191972220000000,-75.112888889999994,2021527.394287,4765554.063006
"247","24025040",ESCUELA AGRICOLA MOGOTES,"1673",6.470000000000000,-72.968888890000002,2272923.303859,5003438.608652
"248","26060030",VILLA RICA,"988",3.178944440000000,-76.462999999999994,1909926.949746,4615163.265189
"249","23210160",GAMARRA,"150",8.326666670000000,-73.737777780000002,2478168.583157,4918793.862589
"250","25020240",CANAL EL,"70",9.410472220000001,-73.890416669999993,2597990.787550,4902278.943904
"251","25021650",YUCAL EL,"40",9.557388890000000,-73.876194440000006,2614225.294800,4903880.835987
"252","23120220",PRADERA LA,"2590",5.870833330000000,-73.913333330000000,2206798.492686,4898934.618476
"253","23190280",PALO GORDO,"950",6.967500000000000,-73.133055560000003,2327899.520982,4985308.730573
"254","27020170",CARMEN EL HACIENDA,"950",7.147194440000000,-75.079777780000001,2348272.784457,4770401.842596
"255","24030510",CEREZO EL,"2900",5.699305560000000,-73.071749999999994,2187763.267659,4992058.402889
"256","24030540",FIRAVITOBA,"2486",5.664527780000000,-72.978277779999999,2183919.989182,5002404.451966
"257","23020090",MARULANDA,"1700",5.278166670000000,-75.267138889999998,2141685.946827,4748822.428911
"258","26240090",PUERTO BELGICA,"80",7.668305560000000,-75.284444440000001,2406009.532038,4748092.804975
"259","21055030",SANTA LETICIA,"285",2.241472220000000,-76.163916670000006,1806081.919904,4648164.127999
"260","25021640",SANTA ISABEL,"40",8.712750000000000,-73.702555559999993,2520830.749702,4922748.430308
"261","24015250",LAJA LA,"1400",6.237166670000000,-73.415388890000003,2247213.343845,4954067.397472
"262","21110430",GIRONDA LA HACIENDA,"160",2.906138890000000,-75.120444440000000,1879360.542527,4764389.470922
"263","21160130",PENAS BLANCAS,"1335",3.651055560000000,-74.749722219999995,1961633.795748,4805739.855387
"264","21050060",ARGENTINA LA,"1500",2.199055560000000,-75.972277779999999,1801344.356285,4669485.261203
"265","21201610",SAN ISIDRO,"2698",4.850288890000000,-73.890722220000001,2094015.385529,4901273.057093
"266","28040300",VILLA CONCEPCION,"120",9.706305560000001,-73.859444440000004,2630680.239189,4905759.768428
"267","24015220",VILLA CARMEN,"2600",5.509388890000000,-73.495777779999997,2166800.467634,4945106.797359
"268","26100300",OBANDO,"986",4.588611110000000,-75.965833329999995,2065718.495824,4671013.342762
"269","24010760",SUAITA,"1660",6.099000000000000,-73.441388889999999,2231948.006540,4951179.694402
"270","23130010",CHUCURI,"100",6.877777780000000,-74.031388890000002,2318105.756332,4886092.235773
"271","25021190",MECHA LA,"100",9.622944439999999,-74.595638890000004,2621755.716822,4824975.858602
